Code,Districts,Libellé,Latitude,Longitude,Voitures de tourisme pour 1000 habitants 2023,Nb. d'accidents avec blessés/tués 2022,Nb. d'accidents avec dommages matériels 2022,Part des voitures électriques 2023,Gare/station,Surface totale,Altitude maximale,Altitude minimale,Habitat et infrastructures (part du territoire) 2020,Surfaces boisées (part du territoire) 2020,Surfaces agricoles (part du territoire) 2020,Surfaces improductives (part du territoire) 2020,Taux d'accroissement des logements 2021,Densité de population 2023,Part des maisons individuelles 2022,Etablissements tous secteurs 2021,Rapport de dépendance des jeunes 2023,Rapport de dépendance des personnes âgées 2023,Taux annuel 2016-2020,Population résidante permanente 2023,Part des élèves du primaire dans la population 2022,Part des élèves du secondaire inférieur dans la population 2022,Coefficient d'imposition communal 2022,Dépenses d'investissement par habitant (moyenne des 3 dernières années 2022),Marge d'autofinancement par habitant 2022,Excédent ou insuffisance de financement par habitant 2022
5650,Morges,Vaux-sur-Morges,46.5353976,6.463827,734.8,2,1,5.3,0,210,536,440,12.4,14.3,73.3,0,0,85.7,32.4,18,36.5,36.5,-0.76,180,6.49,1.62,56,608.1,36.5,-537.2
5651,Ouest lausannois,Villars-Sainte-Croix,46.5675877,6.5616074,953.3,2,2,4,0,164,556,463,44.5,9.1,46.3,0,0,593.9,25.1,170,32.1,28.3,3.31,980,8.59,2.35,60.5,310.5,304.9,51.9
5652,Morges,Villars-sous-Yens,46.5102444,6.4286538,619.3,1,1,4,0,308,548,437,7.8,17.2,74.7,0.3,0,200.3,34.4,45,34,22.9,0.7,609,8.62,2.76,76,24.2,722.2,649.1
5653,Morges,Vufflens-le-Château,46.5264596,6.4690909,596.6,0,0,4.2,1,216,516,410,20.4,12.5,67.1,0,0.57,412.1,53.1,57,43,32.7,0.85,882,7.47,4.19,58.5,298.8,849.7,253.3
5654,Morges,Vullierens,46.5730401,6.4816261,670.8,3,1,4.8,0,682,583,461,7.2,9.1,83.6,0.1,0.77,83.5,30.4,46,37,29.4,4.13,571,8.72,2.49,76,38.3,564.5,564.5
5655,Morges,Yens,46.518837,6.4180806,627.3,1,2,5.5,1,952,715,473,8.5,38.9,52.5,0.1,0.15,158.3,38.3,99,43.7,29.9,1.62,1505,8.92,5.02,71.5,465.7,1032,466.3
5656,Morges,Hautemorges,46.5653843,6.42578017541382,615.3,7,4,4.9,0,3304,712,476,8.5,33.8,57.5,0.2,2.36,131.8,32.1,320,39.9,30.1,0.68,4343,9.35,3.24,72.5,801.8,686.7,37.2
5661,Gros-de-Vaud,Boulens,46.681059,6.7192139,646.6,0,0,3.2,0,341,765,561,7,32.8,60.1,0,1.21,110.8,38.2,29,39.1,29.3,0.07,379,10.44,3.66,71.5,623.3,411.6,405.7
5663,Broye-Vully,Bussy-sur-Moudon,46.6858284,6.8108726,666.7,0,1,3,0,313,702,514,7.7,22.4,70,0,1.89,80.4,37.5,18,36.4,29.8,1.3,251,8.54,3.25,78.5,2151.2,1214.7,-1314
5665,Broye-Vully,Chavannes-sur-Moudon,46.6571671,6.8092169,685.3,0,0,6.9,0,514,848,539,6.4,19.1,74.3,0.2,3.85,46.2,35.2,22,33.8,37.4,-0.11,238,5.96,4.13,70,802.4,475.3,-202
5669,Broye-Vully,Curtilles,46.7005524,6.8486858,618.9,1,2,4.2,0,497,698,485,7.8,14.9,76.7,0.6,0,62.5,42.4,34,34.8,33.7,-0.65,310,5.78,3.74,73,477.9,771.7,391.8
5671,Broye-Vully,Dompierre,46.7081899,6.8835369,661.4,0,0,3,0,325,800,550,6.5,21.8,71.7,0,0,78.8,35.3,23,37.1,30.5,0.31,253,6.85,2.42,78,86.1,245.5,153
5673,Broye-Vully,Hermenches,46.6419061,6.7602141,732.6,1,0,2.2,0,478,834,564,6.1,29.5,64.4,0,0,79,36.6,24,30.8,30.3,0.33,377,7.22,3.48,73.5,272.8,391.9,-47.9
5674,Broye-Vully,Lovatens,46.6918052,6.8641889,704.2,0,0,3,0,347,811,538,4.3,17.6,78.1,0,0,40.9,28,17,31,32.2,-0.18,142,7.69,2.8,75,0,440.7,440.7
5675,Broye-Vully,Lucens,46.708447,6.8389766,519.2,1,6,2.4,1,1929,848,475,12.3,27.8,58.7,1.1,0.19,238.7,19.2,215,43.2,24.7,1.82,4599,9.91,4.03,69.5,1063.5,361.6,279.2
5678,Broye-Vully,Moudon,46.6680664,6.8003478,497.8,17,22,2,1,1565,856,492,17.5,35,45.9,1.7,0.47,407.3,14.7,423,43.2,22.6,0.44,6375,11.09,4.4,72.5,558.7,1100.4,207.3
5680,Gros-de-Vaud,Ogens,46.7111659,6.7227737,702.1,1,0,5,0,338,738,520,7.4,29.9,62.4,0.3,0,97.6,48.2,32,47.6,29.9,0.42,332,11.73,4.32,78,809.3,644.6,334.5
5683,Broye-Vully,Prévonloup,46.699867,6.8820157,592.1,0,0,0.7,0,181,806,718,8.3,12.2,79.6,0,0,122.8,38,16,37.7,36.2,5.03,226,9.09,3.18,72.5,2741,-657.1,2852.4
5684,Broye-Vully,Rossenges,46.6520362,6.7765557,700,0,0,3.2,0,106,748,583,2.8,3.8,93.4,0,0,81.5,33.3,8,26.3,28.1,8.78,88,5.38,4.3,75,2275.2,1424.5,1424.5
5688,Broye-Vully,Syens,46.6456578,6.7782652,578.3,1,1,3.1,0,253,711,530,11.1,34,54.2,0.8,0,65.9,27.3,15,41.5,35.1,1.84,166,9.15,3.05,65,66.5,4,-188.7
5690,Broye-Vully,Villars-le-Comte,46.7106452,6.7990287,649.6,0,0,2.2,0,419,805,642,4.1,26.3,69.7,0,0,32.1,47.2,14,34.6,38.5,-4.29,135,6.52,4.35,70,88.7,864.5,864.5
5692,Broye-Vully,Vucherens,46.624684,6.7769649,634.5,0,1,4.2,0,327,758,557,14.4,22.9,61.5,1.2,0.36,193.6,34.8,48,41.3,23.6,2.59,635,10.36,3.14,77,68.7,339.2,205.9
