wayId,cycleway,length,coordinates
25874688,opposite,77.45955401078034,"[(46.5183214, 6.6300154), (46.5183059, 6.6298255), (46.5182666, 6.629652), (46.5182124, 6.6294223), (46.5182052, 6.6293532), (46.5182027, 6.629149), (46.5182078, 6.6290305)]"
25910398,opposite_lane,177.21033843700098,"[(46.5176402, 6.6094677), (46.5180248, 6.610072), (46.5180555, 6.610131), (46.5180599, 6.6101936), (46.5180377, 6.6102629), (46.5179147, 6.6106271), (46.5177788, 6.6110295), (46.5176511, 6.6114074)]"
25910778,opposite,183.43386357097555,"[(46.5151529, 6.6203549), (46.5153045, 6.6199482), (46.5155317, 6.6193389), (46.5155923, 6.6191764), (46.515644, 6.6190284), (46.5156926, 6.6188893), (46.5157289, 6.6187856), (46.515802, 6.6185765), (46.51592, 6.6182388)]"
26147965,opposite,136.22154000543668,"[(46.4587453, 6.3216475), (46.4585806, 6.3219178), (46.4584744, 6.3221078), (46.4583698, 6.3223016), (46.4581526, 6.3227147), (46.4580489, 6.3229225), (46.4580325, 6.322989), (46.4580296, 6.3230655)]"
26147966,opposite,45.180342659106806,"[(46.4593551, 6.3207976), (46.4590432, 6.3211747)]"
26147967,opposite,49.15051194738371,"[(46.4590432, 6.3211747), (46.4587453, 6.3216475)]"
26202424,opposite_lane,123.8006929988957,"[(46.3507144, 7.1559563), (46.3505564, 7.1561518), (46.3504819, 7.1562442), (46.3504033, 7.1563641), (46.3503497, 7.1564658), (46.3502999, 7.1565605), (46.3502025, 7.1567316), (46.3500262, 7.1570581), (46.3499918, 7.1571145), (46.3499696, 7.157144)]"
26219307,shared_lane,85.54109736647435,"[(46.5435576, 6.5656161), (46.5436693, 6.56574), (46.5441688, 6.5662937)]"
26314000,no,45.581304987851105,"[(46.5265998, 6.6510833), (46.5264693, 6.6509382), (46.5262917, 6.6507351), (46.5262765, 6.6507179)]"
26329749,opposite_lane,28.689781919094905,"[(46.3499696, 7.157144), (46.3499238, 7.1571961), (46.3498872, 7.1572247), (46.3498525, 7.1572465), (46.3497383, 7.1573013)]"
26329753,opposite_lane,148.67783422674455,"[(46.3497383, 7.1573013), (46.3497044, 7.1573132), (46.3494352, 7.1574209), (46.3493331, 7.1574665), (46.349299, 7.1574874), (46.3492424, 7.157536), (46.3491476, 7.1576458), (46.3489233, 7.1579168), (46.348829, 7.1580363), (46.3487862, 7.1580905), (46.3486292, 7.1583072)]"
26486701,opposite,101.53711793940354,"[(46.5197157, 6.6169208), (46.5195292, 6.6173082), (46.5194936, 6.6173736), (46.5192641, 6.6178245), (46.5191791, 6.6179914)]"
26637238,opposite_lane,27.660844980863622,"[(46.3867985, 6.2357261), (46.3869818, 6.2354829)]"
